number of elements;time;time stride;time managed;time stride managed
100;162;151;147;297
200;482;479;474;987
300;1245;1227;1286;1613
400;2888;2891;2887;3414
500;5559;5575;5576;6113
600;9624;9636;9596;10474
700;15145;15126;15140;16768
800;21962;21995;21972;20197
900;24203;24222;24201;25832
1000;33694;33715;33712;35172
1100;45006;44922;44716;47469
1200;57648;57522;57317;59607
1300;73791;73581;73303;75773
1400;91882;91602;91178;94078
1500;112971;112325;111967;115120
1600;135872;135956;136838;140403
1700;164951;164374;164431;166931
1800;196319;195785;195662;198834
1900;229972;229507;229439;233098
2000;271281;269138;269416;272199
2100;309457;309593;309446;315111
2200;360343;360583;360281;361916
2300;412165;412504;415207;416647
2400;472240;471366;471363;480937
2500;533638;533101;533784;536466
2600;600041;599471;598927;601829
2700;670844;671027;671123;674333
2800;749035;749598;752613;756918
2900;838272;838891;836304;839091
3000;927135;926358;926030;930987
3100;1.02289e+06;1.02245e+06;1.02302e+06;1.02594e+06
3200;1.12533e+06;1.12764e+06;1.12479e+06;1.1299e+06
3300;1.23395e+06;1.23682e+06;1.23567e+06;1.23815e+06
3400;1.35059e+06;1.35051e+06;1.35144e+06;1.3532e+06
3500;1.47536e+06;1.47409e+06;1.47535e+06;1.47863e+06
3600;1.60441e+06;1.60307e+06;1.60452e+06;1.61213e+06
3700;1.74476e+06;1.74185e+06;1.74478e+06;1.7448e+06
3800;1.88842e+06;1.89226e+06;1.89906e+06;1.90327e+06
3900;2.05375e+06;2.05346e+06;2.05386e+06;2.0576e+06
4000;2.21585e+06;2.21696e+06;2.22076e+06;2.22357e+06
4100;2.38455e+06;2.38432e+06;2.3837e+06;2.38972e+06
4200;2.56896e+06;2.57023e+06;2.56629e+06;2.56886e+06
4300;2.75289e+06;2.75936e+06;2.75284e+06;2.75686e+06
4400;2.95272e+06;2.95628e+06;2.95301e+06;2.95724e+06
4500;3.15793e+06;3.15876e+06;3.16417e+06;3.15954e+06
4600;3.37208e+06;3.3725e+06;3.37376e+06;3.37611e+06
4700;3.5982e+06;3.5982e+06;3.59615e+06;3.60097e+06
4800;3.83932e+06;3.84102e+06;3.8393e+06;3.85705e+06
4900;4.07737e+06;4.08483e+06;4.08506e+06;4.08842e+06
5000;4.33735e+06;4.33327e+06;4.3414e+06;4.34425e+06
5100;4.60176e+06;4.60074e+06;4.60093e+06;4.60336e+06
5200;4.88192e+06;4.88649e+06;4.88349e+06;4.882e+06
5300;5.16704e+06;5.16519e+06;5.16449e+06;5.17266e+06
5400;5.50402e+06;5.46532e+06;5.46046e+06;5.47254e+06
5500;5.76935e+06;5.77418e+06;5.7775e+06;5.77245e+06
5600;6.12515e+06;6.1035e+06;6.09581e+06;6.11193e+06
5700;6.42985e+06;6.42675e+06;6.4183e+06;6.43335e+06
5800;6.86506e+06;6.81135e+06;6.81868e+06;6.82158e+06
5900;7.1842e+06;7.17764e+06;7.17397e+06;7.17532e+06
6000;7.57583e+06;7.5546e+06;7.54818e+06;7.57718e+06
6100;7.95188e+06;7.93296e+06;7.92501e+06;7.93679e+06
6200;8.37668e+06;8.33374e+06;8.32766e+06;8.34663e+06
6300;8.76138e+06;8.73995e+06;8.73234e+06;8.73745e+06
6400;9.21679e+06;9.16973e+06;9.16835e+06;9.18055e+06
6500;9.62036e+06;9.59551e+06;9.59809e+06;9.6025e+06
6600;1.00816e+07;1.00505e+07;1.00551e+07;1.00562e+07
6700;1.0538e+07;1.05093e+07;1.05107e+07;1.05071e+07
6800;1.10095e+07;1.09962e+07;1.09962e+07;1.10007e+07
6900;1.15069e+07;1.14825e+07;1.14835e+07;1.14855e+07
7000;1.20151e+07;1.19902e+07;1.19851e+07;1.19859e+07
