10000	100	162
40000	200	454
90000	300	1247
160000	400	2526
250000	500	4685
360000	600	8098
490000	700	13532
640000	800	13966
810000	900	20787
1000000	1000	27066
1210000	1100	36250
1440000	1200	46511
1690000	1300	59921
1960000	1400	74789
2250000	1500	91466
2560000	1600	111553
2890000	1700	135265
3240000	1800	159526
3610000	1900	187436
4000000	2000	219714
4410000	2100	253288
4840000	2200	290246
5290000	2300	330621
5760000	2400	376241
6250000	2500	429054
6760000	2600	480633
7290000	2700	537029
7840000	2800	599405
8410000	2900	668865
9000000	3000	738780
9610000	3100	813411
10240000	3200	898908
10890000	3300	995332
11560000	3400	1.07921e+06
12250000	3500	1.17687e+06
12960000	3600	1.28169e+06
13690000	3700	1.39447e+06
14440000	3800	1.5086e+06
15210000	3900	1.63942e+06
16000000	4000	1.823e+06
16810000	4100	1.90974e+06
17640000	4200	2.04846e+06
18490000	4300	2.19556e+06
19360000	4400	2.35476e+06
20250000	4500	2.52868e+06
21160000	4600	2.69108e+06
22090000	4700	2.869e+06
23040000	4800	3.05641e+06
24010000	4900	3.2617e+06
25000000	5000	3.51103e+06
26010000	5100	3.67242e+06
27040000	5200	3.88778e+06
28090000	5300	4.19643e+06
29160000	5400	4.41289e+06
30250000	5500	4.66369e+06
31360000	5600	4.85945e+06
32490000	5700	5.14142e+06
33640000	5800	5.41527e+06
34810000	5900	5.67356e+06
36000000	6000	5.98677e+06
37210000	6100	6.30786e+06
38440000	6200	6.64447e+06
39690000	6300	7.02671e+06
40960000	6400	7.2889e+06
42250000	6500	7.75261e+06
43560000	6600	8.11312e+06
44890000	6700	8.35611e+06
46240000	6800	8.74438e+06
47610000	6900	9.23617e+06
49000000	7000	9.5301e+06
