number of elements;time;time stride;time managed;time stride managed
100;161;149;145;279
200;451;470;449;673
300;1252;1278;1357;1614
400;2566;2561;2568;2972
500;4687;4684;4678;5155
600;8461;8597;8498;9120
700;14133;14157;14158;14549
800;20546;20451;19510;15229
900;22753;22793;22755;22971
1000;30779;30785;30811;31433
1100;40826;40829;40795;41084
1200;53176;54048;56446;56203
1300;69611;69752;69788;69853
1400;86590;86684;83325;82861
1500;99741;99565;99650;100142
1600;122897;123130;122709;123677
1700;148457;147962;147980;148600
1800;175505;174831;174906;175341
1900;205932;206716;206342;206296
2000;244270;244620;247612;258099
2100;289915;276739;275382;275869
2200;317518;318169;318462;318997
2300;360895;361094;360745;361566
2400;415517;429343;438309;424372
2500;466006;467060;467140;466681
2600;523369;524617;526953;527048
2700;587249;587406;586413;587153
2800;663572;662874;663955;663738
2900;723559;722737;722534;723589
3000;803214;802820;803336;804796
3100;876049;874768;877069;880734
3200;990203;990758;989632;990500
3300;1.07317e+06;1.07324e+06;1.07338e+06;1.07656e+06
3400;1.17473e+06;1.17426e+06;1.17415e+06;1.17578e+06
3500;1.27425e+06;1.27383e+06;1.30419e+06;1.29178e+06
3600;1.4142e+06;1.41473e+06;1.4579e+06;1.4145e+06
3700;1.49561e+06;1.51259e+06;1.52143e+06;1.49569e+06
3800;1.62969e+06;1.67492e+06;1.62878e+06;1.63105e+06
3900;1.78487e+06;1.73858e+06;1.73812e+06;1.73976e+06
4000;1.9191e+06;1.91993e+06;1.91985e+06;1.92285e+06
4100;2.04278e+06;2.04324e+06;2.04365e+06;2.0454e+06
4200;2.20621e+06;2.20412e+06;2.20451e+06;2.2061e+06
4300;2.33338e+06;2.33449e+06;2.33408e+06;2.34575e+06
4400;2.57491e+06;2.57556e+06;2.57409e+06;2.57646e+06
4500;2.6743e+06;2.67424e+06;2.72002e+06;2.67814e+06
4600;2.94821e+06;2.90242e+06;2.94887e+06;2.90257e+06
4700;3.05671e+06;3.07113e+06;3.03809e+06;3.03437e+06
4800;3.29627e+06;3.29612e+06;3.29674e+06;3.30029e+06
4900;3.46631e+06;3.46813e+06;3.46923e+06;3.4704e+06
5000;3.73937e+06;3.7353e+06;3.73647e+06;3.73905e+06
5100;3.90047e+06;3.89781e+06;3.89811e+06;3.90196e+06
5200;4.22118e+06;4.22034e+06;4.21914e+06;4.22259e+06
5300;4.36092e+06;4.36098e+06;4.3604e+06;4.36298e+06
5400;4.68875e+06;4.73961e+06;4.73319e+06;4.73839e+06
5500;4.90614e+06;4.90714e+06;4.85936e+06;4.86449e+06
5600;5.23574e+06;5.23559e+06;5.23512e+06;5.24051e+06
5700;5.44857e+06;5.44981e+06;5.44585e+06;5.45368e+06
5800;5.82699e+06;5.87444e+06;5.87405e+06;5.87344e+06
5900;6.07578e+06;6.07612e+06;6.02706e+06;6.0308e+06
6000;6.47345e+06;6.47428e+06;6.47933e+06;6.52745e+06
6100;6.70907e+06;6.71127e+06;6.71106e+06;6.69671e+06
6200;7.12877e+06;7.09806e+06;7.09922e+06;7.09937e+06
6300;7.3297e+06;7.29409e+06;7.2959e+06;7.30328e+06
6400;7.84508e+06;7.81529e+06;7.81322e+06;7.8208e+06
6500;8.11502e+06;8.07183e+06;8.07232e+06;8.07395e+06
6600;8.59714e+06;8.57564e+06;8.57261e+06;8.57711e+06
6700;8.84842e+06;8.81597e+06;8.81044e+06;8.82179e+06
6800;9.44834e+06;9.46674e+06;9.46831e+06;9.52159e+06
6900;9.71168e+06;9.60818e+06;9.60858e+06;9.66392e+06
7000;1.03128e+07;1.02793e+07;1.02111e+07;1.02066e+07
