number of elements;time;time stride;time managed;time stride managed
100;0;0;170;297
200;0;0;452;705
300;0;0;1293;1637
400;0;0;2580;2973
500;0;0;4707;5207
600;0;0;9102;8973
700;0;0;14137;14618
800;0;0;20565;20922
900;0;0;29779;26669
1000;0;0;35415;36034
1100;0;0;40664;41067
1200;0;0;53336;53745
1300;0;0;66238;66361
1400;0;0;82481;82809
1500;0;0;99704;99952
1600;0;0;123178;123421
1700;0;0;148485;148574
1800;0;0;175328;175900
1900;0;0;205130;205269
2000;0;0;242682;243400
2100;0;0;273226;274300
