,1D1D CUDA,2D1D CUDA,2D2D CUDA, cell after cell CPU
2,31,7,6,1
4,8,7,6,1
8,6,6,6,1
16,7,6,6,2
32,7,6,6,4
64,,7,6,16
128,,7,7,87
256,,9,9,770
512,,11,10,3410
1024,,27,26,18160
